iter	Logloss
0	0.6523713936
1	0.6169851467
2	0.5861536598
3	0.5579821679
4	0.5331398415
5	0.5107776788
6	0.4923942867
7	0.4759997254
8	0.4618432027
9	0.4497608998
10	0.4360332903
11	0.4246533621
12	0.4137697468
13	0.4053197021
14	0.3974944
15	0.3894399269
16	0.3835502023
17	0.3760793671
18	0.3703345953
19	0.365057189
20	0.3609141564
21	0.3562755576
22	0.3511264147
23	0.3473917724
24	0.3445115127
25	0.3418170126
26	0.337786093
27	0.335480501
28	0.33245529
29	0.3302590417
30	0.3273859891
31	0.3250336578
32	0.3229420447
33	0.3213959612
34	0.3192469371
35	0.3174854047
36	0.3157040217
37	0.3145242371
38	0.3130522871
39	0.3117522278
40	0.3104355327
41	0.3089911502
42	0.307665967
43	0.3070014373
44	0.3059412288
45	0.3046653023
46	0.3039511346
47	0.3033313841
48	0.3022141738
49	0.3016569053
50	0.3009556658
51	0.2999736985
52	0.2993112457
53	0.2988890695
54	0.2983362521
55	0.2975158981
56	0.2967311536
57	0.2962651585
58	0.2956354454
59	0.2947803914
60	0.2939953453
61	0.2933060631
62	0.292927833
63	0.2926057621
64	0.2921656983
65	0.2911786932
66	0.291014654
67	0.2906856325
68	0.2904081609
69	0.2900554463
70	0.2898170591
71	0.2889963683
72	0.2888414284
73	0.2886381271
74	0.2884790963
75	0.2882722303
76	0.2880178042
77	0.2876815269
78	0.2872193799
79	0.2868802786
80	0.2866776086
81	0.2863756977
82	0.285853716
83	0.2856939587
84	0.2854808717
85	0.2853491665
86	0.2851091064
87	0.2849855436
88	0.2845446832
89	0.2843688922
90	0.2838425416
91	0.2835820383
92	0.2830744261
93	0.2829008089
94	0.2828219857
95	0.2826216282
96	0.2822783335
97	0.2821437201
98	0.2818062916
99	0.2816032576
100	0.2815174954
101	0.2812300164
102	0.2809162271
103	0.2807134322
104	0.2805293337
105	0.2803965026
106	0.2802879992
107	0.2801810936
108	0.2800273363
109	0.2797914247
110	0.2796189735
111	0.279511767
112	0.2793232748
113	0.279175281
114	0.2789380121
115	0.2788714044
116	0.2784807715
117	0.2782827434
118	0.2782144866
119	0.278141446
120	0.278039596
121	0.2779529287
122	0.2777408403
123	0.2775498556
124	0.2773788944
125	0.2771867505
126	0.277069108
127	0.2768767555
128	0.2766658652
129	0.2765708609
130	0.2763099229
131	0.2760429825
132	0.2758790856
133	0.2756702762
134	0.2755332548
135	0.2754739063
136	0.2753859208
137	0.2750917824
138	0.2749238048
139	0.2748616858
140	0.2747585873
141	0.2746021367
142	0.274497787
143	0.2744353367
144	0.2743625361
145	0.2743057013
146	0.274262668
147	0.2740843596
148	0.2738789157
149	0.2738402232
150	0.2737985893
151	0.2737493338
152	0.2737160548
153	0.2735986292
154	0.2734503525
155	0.2732709412
156	0.2732230998
157	0.2731535671
158	0.2729199906
159	0.2727664469
160	0.2727001095
161	0.2726191476
162	0.272435033
163	0.2723954451
164	0.272325145
165	0.2723181614
166	0.2722769581
167	0.2721371919
168	0.2720716447
169	0.2719665012
170	0.2718752822
171	0.2717690207
172	0.2716342202
173	0.2713652581
174	0.2712206134
175	0.271149886
176	0.2710386804
177	0.2709458416
178	0.2709069885
179	0.2708201426
180	0.2707573956
181	0.2706637804
182	0.2704539622
183	0.2703402069
184	0.2702594185
185	0.2701163948
186	0.2700457583
187	0.2699033032
188	0.2698015529
189	0.2697138734
190	0.2696847553
191	0.2696164731
192	0.2695422239
193	0.2694983951
194	0.2694354562
195	0.26938455
196	0.269326973
197	0.2692471471
198	0.2691448765
199	0.2690877899
200	0.2688620177
201	0.2687978888
202	0.2687479505
203	0.2686945185
204	0.2685927241
205	0.268522348
206	0.2683837898
207	0.2682839043
208	0.2682196188
209	0.2681803357
210	0.2681439533
211	0.2680805308
212	0.2680358148
213	0.267975321
214	0.2679482622
215	0.2678959622
216	0.2678312689
217	0.2677494746
218	0.2677210374
219	0.2676278877
220	0.2674841231
221	0.2673958588
222	0.2671188137
223	0.2669908951
224	0.2668693811
225	0.2667365818
226	0.2666946305
227	0.2666671946
228	0.2665805929
229	0.2665297718
230	0.2664658783
231	0.2663209261
232	0.2662180065
233	0.2659613263
234	0.2658594684
235	0.2658379589
236	0.2657006607
237	0.2656687426
238	0.2656153976
239	0.2654702871
240	0.2653262299
241	0.2651619422
242	0.2650851442
243	0.2649458551
244	0.2647892789
245	0.2646337687
246	0.2645781122
247	0.2645193826
248	0.2644511131
249	0.2642486047
250	0.2641721641
251	0.2640317241
252	0.2639499767
253	0.2638659725
254	0.2637953335
255	0.2637520629
256	0.2636286716
257	0.2635821802
258	0.2634738167
259	0.2633819413
260	0.2632729163
261	0.2631607941
262	0.2631321735
263	0.2630344476
264	0.2629681937
265	0.2628924514
266	0.2628384704
267	0.2627379102
268	0.262672386
269	0.2626009775
270	0.2625678917
271	0.2625043419
272	0.2623912591
273	0.2623358394
274	0.2622741758
275	0.2622061544
276	0.2621317587
277	0.2620455887
278	0.2619889187
279	0.2619143014
280	0.2617604812
281	0.2615897676
282	0.2615005014
283	0.2614555547
284	0.2613498765
285	0.2612646148
286	0.2612244777
287	0.2611613841
288	0.2611015206
289	0.261043342
290	0.260945623
291	0.2607183049
292	0.2606340422
293	0.2605189441
294	0.260479737
295	0.2604356085
296	0.2602231098
297	0.2601483852
298	0.2601261134
299	0.2600575939
300	0.2600242125
301	0.2599412106
302	0.2597635556
303	0.2597068539
304	0.2596558893
305	0.2595915028
306	0.2594668199
307	0.2592782244
308	0.2590897227
309	0.2589191143
310	0.2589102112
311	0.2588625689
312	0.2586906234
313	0.2586226123
314	0.258568485
315	0.2584892307
316	0.2584518612
317	0.2583869122
318	0.2583237737
319	0.2582437901
320	0.2581691914
321	0.2581194318
322	0.2580742728
323	0.2579604131
324	0.2578982508
325	0.2578207453
326	0.2577375202
327	0.2577066315
328	0.2576683495
329	0.257596811
330	0.2575639614
331	0.257513872
332	0.2574319127
333	0.2573568164
334	0.2572716865
335	0.257228718
336	0.2570866532
337	0.2570130633
338	0.2569594461
339	0.256871085
340	0.256795725
341	0.2567351412
342	0.2566601855
343	0.2566200692
344	0.2565817242
345	0.2565698595
346	0.2564934993
347	0.2563823314
348	0.2563022089
349	0.2562280438
350	0.2561373534
351	0.2561044823
352	0.2560315839
353	0.2559304612
354	0.2558752992
355	0.2558630721
356	0.255802457
357	0.255660668
358	0.2555614774
359	0.2554464018
360	0.2553794529
361	0.2553575931
362	0.2552948534
363	0.2552333477
364	0.2551977879
365	0.2551547203
366	0.2550756038
367	0.2549993935
368	0.2548854987
369	0.2548389437
370	0.2547983739
371	0.2547260487
372	0.2546643378
373	0.2545859979
374	0.254514776
375	0.254413916
376	0.2543306396
377	0.2542348962
378	0.2541280134
379	0.2540880913
380	0.2540118819
381	0.2539142024
382	0.2538666839
383	0.2537823762
384	0.2537487567
385	0.2536321974
386	0.2535321234
387	0.2534359316
388	0.2533844863
389	0.2533327252
390	0.2532508113
391	0.2531901984
392	0.2531615927
393	0.2530585792
394	0.2529906495
395	0.2529346146
396	0.2528889264
397	0.252845959
398	0.252826883
399	0.25273803
400	0.2526941256
401	0.252612723
402	0.2525584166
403	0.2524169376
404	0.2523298115
405	0.2522405035
406	0.2521270022
407	0.252087438
408	0.2520372185
409	0.2519655484
410	0.2518849302
411	0.2518264475
412	0.2517662703
413	0.2517017265
414	0.2515797987
415	0.2515082821
416	0.2514582488
417	0.2513758956
418	0.2512838446
419	0.2511958162
420	0.2510884205
421	0.2509655393
422	0.2508944243
423	0.2508447571
424	0.2508059791
425	0.2507316307
426	0.2506141498
427	0.250543826
428	0.2504862001
429	0.25032631
430	0.2503104832
431	0.2502535115
432	0.250177881
433	0.2501009022
434	0.2500155743
435	0.2499096185
436	0.2498180118
437	0.249776566
438	0.2496982823
439	0.2496693524
440	0.2495875437
441	0.2495561828
442	0.2494973395
443	0.2494346514
444	0.2493706395
445	0.2492765361
446	0.2492068832
447	0.2491203214
448	0.2490483974
