iter	Passed	Remaining
0	153	153579
1	169	84515
2	183	61061
3	194	48350
4	204	40717
5	215	35742
6	227	32246
7	238	29516
8	248	27362
9	255	25318
10	265	23857
11	274	22613
12	284	21574
13	292	20583
14	300	19763
15	309	19063
16	318	18405
17	326	17833
18	335	17325
19	344	16865
20	352	16420
21	361	16056
22	371	15782
23	380	15463
24	389	15186
25	398	14915
26	407	14668
27	415	14421
28	423	14190
29	433	14009
30	442	13825
31	451	13654
32	460	13486
33	468	13313
34	478	13201
35	487	13050
36	496	12914
37	504	12769
38	512	12619
39	520	12484
40	528	12371
41	536	12240
42	544	12107
43	552	12005
44	559	11875
45	568	11780
46	576	11679
47	584	11584
48	593	11519
49	602	11440
50	610	11366
51	619	11285
52	627	11213
53	635	11138
54	644	11066
55	652	10996
56	661	10942
57	669	10871
58	678	10814
59	685	10741
60	694	10692
61	702	10626
62	712	10591
63	741	10841
64	765	11010
65	815	11537
66	860	11979
67	887	12168
68	901	12162
69	920	12235
70	938	12283
71	958	12350
72	975	12393
73	1001	12535
74	1019	12568
75	1036	12605
76	1052	12618
77	1071	12663
78	1086	12668
79	1102	12682
80	1115	12661
81	1133	12687
82	1151	12720
83	1166	12725
84	1180	12712
85	1195	12705
86	1208	12680
87	1224	12694
88	1238	12679
89	1258	12721
90	1273	12720
91	1287	12708
92	1299	12677
93	1311	12644
94	1325	12623
95	1341	12633
96	1354	12606
97	1367	12587
98	1380	12566
99	1395	12555
100	1409	12549
101	1427	12569
102	1442	12559
103	1457	12557
104	1475	12575
105	1489	12558
106	1503	12547
107	1516	12521
108	1531	12519
109	1546	12513
110	1560	12497
111	1574	12482
112	1589	12475
113	1602	12456
114	1616	12436
115	1629	12418
116	1645	12417
117	1660	12410
118	1674	12399
119	1687	12372
120	1701	12359
121	1715	12347
122	1731	12345
123	1747	12342
124	1761	12328
125	1774	12310
126	1788	12291
127	1799	12256
128	1813	12245
129	1826	12222
130	1838	12198
131	1851	12171
132	1863	12146
133	1875	12120
134	1888	12098
135	1900	12071
136	1911	12042
137	1923	12014
138	1934	11985
139	1946	11955
140	1959	11936
141	1974	11928
142	1989	11921
143	2001	11895
144	2013	11875
145	2027	11858
146	2043	11857
147	2058	11849
148	2072	11839
149	2086	11820
150	2099	11803
151	2114	11797
152	2129	11786
153	2140	11759
154	2155	11751
